
# list of issues fixed with this release (previous release was 3.3.1)

# commit             date                 issue      message

  c71d0b50cc    2021-04-23T10:54:20+02:00    5522    Fix #5522 added test core/rest to ensure report JsonObject library inclusion
  a36040f7f2    2021-04-23T09:22:49+02:00    5533    fix #5533 improve after class deletion actions
  54cd014939    2021-04-23T09:22:13+02:00    5389    Fix #5389 included widgets and contextmenus in class/process translation tab
  0b17410bbc    2021-04-22T14:17:13+02:00    5528    fix #5528 Error editing filters with "From selection" relations condition
  a10faf4bf2    2021-04-22T12:29:27+02:00    5515    Fix #5515
  899f81a01d    2021-04-22T12:00:51+02:00    5531    fix #5531 : serialize detailed view on view update
  9209196f6b    2021-04-22T09:53:07+02:00    5504    Fix #5504 improved BigDecimal comparison when checking changed attributes in import
  14b4d8df2d    2021-04-22T09:53:07+02:00    5504    Fix #5504 improved BigDecimal comparison when checking changed attributes in import
  220987806d    2021-04-21T14:41:41+02:00    5526    fix #5526 import export - refresh grid view in row on active toggle click
  0ec8835a85    2021-04-21T14:29:54+02:00    5525    fix #5525 remove processes and join views from import database, ifc, cad import template
  ae8e0db831    2021-04-21T11:58:57+02:00    5523    fix #5523 admin - authentication modules grid - add grouping and remove checkboxes
  56aebbdddc    2021-04-21T10:34:09+02:00    5501    fix #5501 missing padding in Notes tab
  dfb383c10e    2021-04-21T10:19:03+02:00    5520    fix #5520 Admin module - Routing conf
  1ad2a358a7    2021-04-21T10:14:35+02:00    5519    fix #5519 Admin module - Multitenant message
  714a0ca210    2021-04-21T10:10:45+02:00    5516    fix #5516 Create export template
  08ca7348e0    2021-04-21T10:00:39+02:00    5509    fix #5509 Domains tab enabled on simple classes
  095015c0fe    2021-04-21T09:51:19+02:00    5511    fix #5511 scrolldown on #administration/setup/authentication
  ccaee08f69    2021-04-21T09:48:54+02:00    5513    fix #5513 Edit values in #administration/email/templates
  66e8b943d6    2021-04-21T09:40:52+02:00    5507    fix #5507 "Import key attributes" empty on /importexport/gatetemplates/database
  ecb4fc8760    2021-04-21T09:22:29+02:00    5505    fix #5505 joinviews
  2574674611    2021-04-20T18:08:02+02:00    5510    fix #5510 default email signature doesn't works
  74bd679471    2021-04-20T12:40:41+02:00    5502    fix #5502 cannot delete signature
  ac7136af45    2021-04-20T12:08:00+02:00    5503    fix #5503 check if related stores are already loaded in class
  08c9ffadb2    2021-04-20T11:46:01+02:00    5183    fix #5183 : improved email expr processing to use client/server card data
  a2fee334fe    2021-04-20T11:46:01+02:00    5183    fix #5183 : improved email expr processing to use client/server card data
  35512ca222    2021-04-20T09:22:56+02:00    5465    Fix #5465 improved clone test web to include mandatory field test
  f68b583bb3    2021-04-19T18:45:06+02:00    5496    fix #5496 Multi-selection is not deselectable
  960182f72d    2021-04-19T15:45:27+02:00    5481    fix #5481 Import/Export 3.3.2-rc2
  bcd3787caf    2021-04-19T12:20:59+02:00    5435    fix #5435 Opening last grid card after deleting last card doesn't load inline on Firefox
  236b44e99f    2021-04-19T11:42:05+02:00    5462    Fix #5462 Added check on existence of upper tab panel
  995029308d    2021-04-19T11:41:37+02:00    5494    fix #5494 View with join: cannot use attribute named 'description'
  f5ea1b78c2    2021-04-19T11:24:51+02:00    4899    fix #4899 : improved processing of max length meta
  671f74af2e    2021-04-19T11:01:32+02:00    5477    fix #5477 navigation trees show disabled domains on administration
  8579b662ca    2021-04-19T10:52:15+02:00    5483    fix #5483 manange change tenant when user has not enabled multi-tenancy
  0300b7f859    2021-04-19T10:47:17+02:00    5488    fix #5488 Delete import/export template on #administration/classes/ 3.3.2-rc2
  372de29d88    2021-04-19T10:39:25+02:00    5300    Fixed #5300 for widget handling
  b97b052b8e    2021-04-19T10:35:44+02:00    5487    Fix #5487 zoom functionality resetted, and extra checks.
  ea41e17ec2    2021-04-19T10:32:46+02:00    5486    fix #5486 Disabled action "activate" on class layout - 3.3.2-rc2
  1817bf33c1    2021-04-19T10:31:52+02:00    5300    Fix #5300 fixed put of only one custom component
  00c3b3c48e    2021-04-19T09:53:27+02:00    5482    fix #5482 #administration/tasks 3.3.2-rc2
  9afcbff390    2021-04-19T09:33:09+02:00    5110    fix #5110 Search user in "All Users" list
  b21c11a9dc    2021-04-16T15:20:54+02:00    5478    fix #5478 Tab Details always enabled
  6c848f137b    2021-04-16T15:14:00+02:00    4205    fix #4205 FormWidget doesn't handle correctly cql variables and expressions
  fd56415660    2021-04-16T14:14:20+02:00    5195    Fix #5195 excluded test module from source code
  cb3b9dd746    2021-04-16T12:09:08+02:00    5461    Fix #5461 removed desktop custom pages in mobile menu serialization when using Default
  3268479f52    2021-04-16T10:08:29+02:00    5476    Fix #5476 updated test web for import template
  b19a2ec689    2021-04-16T09:45:11+02:00    5468    fix #5468 Reference attribute filter malfunction on CMDBuild fresh start
  06f6083342    2021-04-15T17:27:08+02:00    5464    fix #5464 Edit card button not enabled for inline relations inside "Create / Modify Card"
  2a39c4f218    2021-04-15T15:31:33+02:00    5471    fix #5471 admin navigation trees - skip node creation if source or destination class is disabled
  6f5eab8394    2021-04-15T15:04:50+02:00    5463    fix #5463 Remove error template from import export template configuration
  d5af2ab020    2021-04-15T13:13:31+02:00    5462    Revert "Fix #5462 Verify behavior of activity help on card creation"
  b66cdfb424    2021-04-15T13:07:46+02:00    5462    Fix #5462 Verify behavior of activity help on card creation
  728fd06aa0    2021-04-15T13:00:51+02:00    5458    fix #5458 Attributes not shown from view from join
  35576e482c    2021-04-15T11:43:28+02:00    5254    fix #5254  handle parameters for component context menus
  a8c640adeb    2021-04-14T14:28:14+02:00    5460    Fix #5460 Rename labels of import template statistics
  a0b0e71022    2021-04-14T10:04:57+02:00    5457    Fix #5457 fixed geoserver layer upload
  0a8b11fe46    2021-04-13T17:22:30+02:00    5410    Fix #5410 fixed processes ordering by tenant id
  320145de58    2021-04-13T17:22:30+02:00    5410    Fix #5410 fixed processes ordering by tenant id
  44b3e7d9d9    2021-04-13T16:35:09+02:00    5456    Fix #5456 changed defaultExportTemplate metadata serialization
  c7e0c0fd83    2021-04-13T10:28:07+02:00    5452    Fix #5452
  c243eaf9a7    2021-04-12T16:00:32+02:00    5437    Fix #5437
  59c8b51305    2021-04-12T13:07:16+02:00    4775    fix #4775 : add `active` attr to gis geoserver layer
  d0590aa58d    2021-04-12T11:51:37+02:00    5445    Fix #5445 added basic test core for export error when attribute is disabled
  b75dae3a2a    2021-04-12T11:05:31+02:00    5372    fix #5372 : handle domain attrs in join view
  700b020c48    2021-04-12T10:49:20+02:00    5433    fix #5433 Import/export database - hide password field
  e94c6d3cae    2021-04-12T10:06:38+02:00    5444    Fix #5444 fail export if template contains disaled attributes
  993b05cd39    2021-04-12T10:06:38+02:00    5444    Fix #5444 fail export if template contains disaled attributes
  3fe02cfac0    2021-04-12T09:31:19+02:00    5442    fix #5442 Wrong attributes display in join views
  63abfe6b05    2021-04-12T09:24:14+02:00    5443    fix #5443 createModifyCard throws error if reference is not set
  0e1926e18d    2021-04-08T15:48:59+02:00    5431    Fix #5431 avoid serialization error in widget rest v2
